duree_minimale_sejour,caution,frais_menage,surcout_voyageur_supp,reduction_mois,reduction_semaine,prix_nuitee,porte_chambre_verrou,extincteur,fiche_securite,kit_secours,monoxyde_carbone_detect,detecteur_fumee,espace_travail_ordi,seche_cheveux,fer_repasser,cintres,entree_24_24,salle_sport,jacuzzi,piscine,portier,interphone,cheminee_interieur,ascenseur,accessibilite,logement_fumeur,adapte_evenements,pourenfants_famille,animaux_acceptes,petit_dejeuner,television_cable,wifi,parking_sur_place,seche_linge,machine_laver,climatisation,chauffage,produits_base,television,internet,cuisine,animal_sur_place,nblits,nbchambres,nombresdb,capacite_accueil,longitude,latitude,conditions_annulation_flexibles,conditions_annulation_moderees,conditions_annulation_strictes,type_lit_canape,type_lit_canape_convertible,type_lit_multiples,type_lit_vrai_lit,type_propriete_appart_en_residence,type_propriete_appartement,type_propriete_autre,type_propriete_bed_and_breakfast,type_propriete_bungalow_cabane_dortoir_eco,type_propriete_inconnu,type_propriete_loft,type_propriete_maison,type_propriete_maison_de_ville,type_logement_chambre_partagee,type_logement_chambre_privee,type_logement_logement_entier
5,0,0,0,30,12,50,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,3,-0.5868111263,44.8487457422,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,200,0,0,0,0,60,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,2,1,4,-0.5839351256,44.8250217872,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-0.5503795288,44.8227876097,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
3,400,75,50,30,15,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,2,1,4,-0.5615007205,44.8417430626,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,500,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-0.5761374372,44.8520666825,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,0,10,0,0,24,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,2,-0.578602673,44.8375682078,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,150,10,0,0,0,60,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,2,-0.5749363086,44.8367471946,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,450,60,0,0,10,100,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,2,1,4,-0.5859023163,44.823456764,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,2,-0.5801412914,44.8374913985,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,200,0,0,0,0,50,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,2,2,4,-0.5799046222,44.8298696404,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,2,-0.565052443,44.8221465664,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2,300,50,0,0,0,95,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,3,3,6,-0.6031858482,44.8482856687,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,0,0,30,15,295,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,4,4,3,8,-0.5965281732,44.8499750955,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,100,17,0,0,0,36,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,2,-0.5703086783,44.8317482073,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0,20,10,0,0,90,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,3,2,1,6,-0.5776262796,44.8250647287,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
4,0,0,10,0,10,50,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,2,-0.5572517394,44.8252486546,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5,900,60,0,25,7,218,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,2,2,5,-0.5779609439,44.8565741047,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,0,0,0,0,0,46,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,2,1,2,-0.5756307373,44.8478821972,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,100,5,0,0,0,36,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,2,-0.567380142,44.8365543061,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,2500,200,25,0,0,400,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,5,5,12,-0.6285240188,44.8595520214,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,13,0,0,45,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,2,-0.5438470493,44.8753991196,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
4,500,0,0,0,10,79,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,2,2,4,-0.5785125772,44.8361351724,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,2,-0.5716890534,44.8377102239,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,400,20,0,37,18,60,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,2,-0.596395918,44.8388860037,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,69,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,-0.6096261393,44.8298168128,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,200,0,0,0,0,100,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,2,-0.5779469999,44.8413339,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
3,1001,60,0,64,15,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,4,2,8,-0.5724515137,44.8374451214,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,5,90,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,2,2,1,4,-0.5759540769,44.8350190133,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,75,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,2,2,1,4,-0.5683416341,44.8394595777,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,2,-0.5709348536,44.8378493162,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,3,-0.5804592444,44.8554112338,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,250,0,0,0,0,68,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,2,2,1,4,-0.5726308886,44.8150043252,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3,200,20,0,30,15,95,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,3,2,1,4,-0.5622802763,44.8274803054,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,48,5,22,10,46,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,6,-0.5821096287,44.8327220566,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,-0.5715506321,44.8246900281,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2,0,30,0,0,0,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,2,-0.5719830062,44.8341635194,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,20,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,2,-0.5804104352,44.8314286297,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,48,20,65,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,5,-0.5765327401,44.8529019192,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,150,10,0,0,0,65,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,4,-0.5687397055,44.8535413543,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,500,10,10,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,4,-0.5862681433,44.840766665,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,90,0,0,0,0,30,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,2,-0.5616473785,44.8332768576,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,0,5,0,38,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,-0.5648006439,44.863148555,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2,0,9,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,2,-0.5503629599,44.8804864356,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,200,15,0,0,15,90,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,2,1,4,-0.5663691111,44.8362938258,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,2,-0.5702303124,44.8315066821,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,30,15,350,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,4,4,8,-0.5740632827,44.8335012614,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,39,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,2,-0.5724588505,44.8372931893,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,33,20,50,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,2,-0.5807101501,44.8520153292,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,15,0,0,0,85,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,2,1,4,-0.57847385,44.8368561193,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,500,30,10,32,14,60,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,4,-0.5616597889,44.8309832282,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,20,10,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,2,-0.5730693652,44.8422519248,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,0,15,0,29,10,38,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,2,-0.5703139552,44.8313396397,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
7,500,30,0,0,17,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,2,2,1,4,-0.580409601,44.8448218822,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3,200,0,5,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,3,-0.5664159843,44.8373435869,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,0,30,0,0,0,105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,4,2,1,5,-0.5694746639,44.8268599804,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3,400,45,5,20,10,123,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,2,1,4,-0.5739733958,44.8406521446,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,800,0,0,0,0,110,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,2,2,1,4,-0.5766715817,44.8400010048,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,7,100,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,2,-0.5812565422,44.8424869586,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,500,15,0,0,12,75,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,3,-0.564312561,44.8351828373,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,20,20,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,3,-0.5809431613,44.8452049461,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,50,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,3,2,1,4,-0.5685797027,44.8144049759,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2,300,30,0,0,0,55,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,2,-0.5715282222,44.8412268755,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,60,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,2,1,4,-0.5698965829,44.841509757,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,2,-0.570953713,44.8546626686,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
